Orden,Periodo,Tipo de periodo
60,12.4,hora
1,31.0,dia
31,24.0,hora
62,12.0,hora
59,12.610169491525424,hora
6,5.166666666666667,dia
5,6.2,dia
3,10.333333333333334,dia
29,1.0689655172413792,dia
4,7.75,dia
13,2.3846153846153846,dia
58,12.827586206896552,hora
61,12.196721311475411,hora
7,4.428571428571428,dia
17,1.8235294117647058,dia
8,3.875,dia
9,3.4444444444444446,dia
15,2.066666666666667,dia
10,3.1,dia
14,2.214285714285714,dia
