Frecuencia angular,Periodo,Tipo de periodo
705,12.425531914893616,hora
706,12.407932011331445,hora
692,12.658959537572255,hora
366,23.934426229508194,hora
730,12.0,hora
704,12.443181818181818,hora
707,12.39038189533239,hora
1,12.166666666666666,mes
339,1.0766961651917406,dia
4,3.0416666666666665,mes
703,12.460881934566146,hora
16,22.8125,dia
708,12.372881355932204,hora
5,2.433333333333333,mes
702,12.478632478632479,hora
709,12.355430183356841,hora
19,19.210526315789476,dia
7,1.7380952380952381,mes
732,11.967213114754097,hora
26,14.03846153846154,dia
